filename,公司全称,公司简称,公司代码,公告名称,落款日期,发函单位,函件名称,函件文号,收函时间,最晚回函时间,回函时限,函件类别,函件目录,问题类型,篇幅页数,字数,关联函件,文档类型
145987551_2025-10-10__ST聆达：关于收到大连证监局《监管关注函》的整改报告.PDF,聆达集团股份有限公司,*ST聆达,300125,聆达集团股份有限公司关于大连证监局《监管关注函》的整改报告,2025-10-10,中国证券监督管理委员会大连监管局,《监管关注函》,大证监函〔2025〕390号,2025-09-16,未找到,未找到,其他,一、存在的问题及整改措施;问题一：对金寨嘉悦一期项目计提减值不充分;问题二：内控制度执行不到位;问题三：内幕信息登记不完整;二、整改情况总结,未找到,5,3200,未找到,整改报告
145995064_2025-10-15_ST路通：无锡路通视信网络股份有限公司关于深圳证券交易所关注函的回复公告.PDF,无锡路通视信网络股份有限公司,ST路通,300555,无锡路通视信网络股份有限公司关于深圳证券交易所关注函的回复公告,2025-10-15,深圳证券交易所创业板公司管理部,《关于对无锡路通视信网络股份有限公司的关注函》,创业板关注函〔2025〕第9号,2025-10-11,未找到,未找到,其他,1.未发出召开临时股东会通知的具体原因;2.未发出召开临时股东会通知是否符合《上市公司股东会规则》和你公司《章程》的规定;3.发出临时股东会通知的具体安排，预计发出临时股东会通知以及召开股东会的日期,未找到,3,1689,《关于对无锡路通视信网络股份有限公司的关注函》（创业板关注函〔2025〕第9号）,回复函
145998568_2025-10-17_关于对上海证券交易所2025年半年度报告的信息披露监管问询函的回复公告.pdf,四川天微电子股份有限公司,*ST天微,688511,四川天微电子股份有限公司关于对上海证券交易所2025年半年度报告的信息披露监管问询函的回复公告,2025-10-18,上海证券交易所科创板公司管理部,关于四川天微电子股份有限公司2025年半年度报告的信息披露监管问询函,上证科创公函【2025】0374号,2025-09-15,未找到,未找到,半年度报告,1、关于营业收入;2、关于应收账款;3、关于期间费用,未找到,23,17658,未找到,回复函
145999566_2025-10-17_中科磁业：关于实际控制人收到浙江证监局行政监管措施决定书的公告.pdf,浙江中科磁业股份有限公司,中科磁业,301141,浙江中科磁业股份有限公司关于实际控制人收到浙江证监局行政监管措施决定书的公告,2025-10-18,中国证券监督管理委员会浙江监管局,关于对吴中平、吴双萍采取出具警示函措施的决定,（2025）226号,2025-10-17,未找到,未找到,其他,未找到,未找到,2,1063,未找到,其他
146000622_2025-10-20_[临时公告]大唐药业_关于对北京证券交易所2025年半年报问询函的回复.pdf,内蒙古大唐药业股份有限公司,大唐药业,920433,关于对北京证券交易所2025年半年报问询函的回复,2025-10-20,北京证券交易所上市公司管理部,《关于对内蒙古大唐药业股份有限公司的半年报问询函》,半年报问询函【2025】第004号,2025-09-26,未找到,未找到,半年度报告,1、关于经营业绩（1）结合市场需求与竞争、产品销售价格与成本变动、和林厂区折旧等，说明各产品收入与毛利率大幅下降的原因及合理性；对比可比公司业绩情况，说明收入、毛利率同比减少是否与行业趋势一致；（2）说明上述区域收入大幅变动的原因，部分区域收入增长是否可持续；（3）结合在手订单、销售渠道布局等情况，说明业绩是否存在持续下滑风险，以及已（拟）采取的改善措施。2、关于应收账款（1）说明前五名应收账款客户的交易时间及内容、应收账款及账龄结构、期后回款情况，与公司是否存在关联关系、是否存在资金占用；（2）结合信用政策、客户还款能力、历史回款情况等，说明应收账款坏账准备计提是否充分。3、关于存货（1）结合市场需求、销售周期、在手订单等，说明在收入下滑的情况下，库存商品余额较高的原因及合理性，是否存在滞销风险；（2）结合存货库龄、产品保质期、市场需求及价格变化、存货状态等，说明存货跌价准备计提是否充分。4、关于销售费用（1）列示市场营销费明细，包括交易对象、交易内容、支付金额、价格公允性、交易对象是否与你公司存在关联关系；（2）说明职工薪酬增长的合理性，与销售人员人数的匹配性。,未找到,14,10052,《关于对内蒙古大唐药业股份有限公司的半年报问询函》,回复函
146001007_2025-10-20_[临时公告]花溪科技_关于对北京证券交易所2025年半年报问询函回复的公告.pdf,新乡市花溪科技股份有限公司,花溪科技,920895,关于对北京证券交易所2025年半年报问询函回复的公告,2025-10-20,北京证券交易所上市公司管理部,关于对新乡市花溪科技股份有限公司半年报问询函,未找到,2025-09-26,未找到,未找到,半年度报告,1、关于经营业绩；2、关于应收账款；3、关于存货；4、关于管理费用；5、关于募投项目,未找到,18,12738,未找到,回复函
146001206_2025-10-20_[临时公告]驱动力_广东驱动力生物科技集团股份有限公司关于对北京证券交易所半年报问询函回复的公告.pdf,广东驱动力生物科技集团股份有限公司,驱动力,920275,广东驱动力生物科技集团股份有限公司关于对北京证券交易所半年报问询函回复的公告,2025-10-20,北京证券交易所上市公司管理部,《关于广东驱动力生物科技集团股份有限公司的半年报问询函》,半年报问询函【2025】第002号,2025-09-26,未找到,未找到,半年度报告,问题一：关于经营业绩；问题二：关于货币资金；问题三：关于存货；问题四：关于期间费用,未找到,25,19890,未找到,回复函
146002654_2025-10-21_实丰文化：关于业绩承诺方收到广东证监局行政监管措施决定书的公告.PDF,实丰文化发展股份有限公司,实丰文化,002862,实丰文化发展股份有限公司关于业绩承诺方收到广东证监局行政监管措施决定书的公告,2025-10-22,中国证券监督管理委员会广东监管局,《关于对孙平珠、李灯琪、陈家兵、潘振东、陈伟、天长市共盈企业管理有限公司、天长市佳禾维企业管理有限公司、江阴卓盛纺织有限公司、无锡盈盛汇投资有限公司采取责令改正措施的决定》,(2025)112号,2025-10-21,未找到,未找到,其他,未找到,未找到,3,1827,未找到,其他
146003979_2025-10-22_豪江智能：关于中证中小投资者服务中心《股东质询函》的回复公告.PDF,青岛豪江智能科技股份有限公司,豪江智能,301320,青岛豪江智能科技股份有限公司关于中证中小投资者服务中心《股东质询函》的回复公告,2025-10-22,中证中小投资者服务中心,《股东质询函》,投服中心行权函﹝2025﹞28号,未找到,未找到,未找到,关联交易,问题一、第五元素大额资产盘亏的原因；问题二、履约保障措施的充分性,未找到,4,3099,《股东质询函》（投服中心行权函﹝2025﹞28号）,回复函
146004221_2025-10-22_[临时公告]连城数控_关于对北京证券交易所2025年半年报问询函的回复公告.pdf,大连连城数控机器股份有限公司,连城数控,920368,大连连城数控机器股份有限公司关于对北京证券交易所2025年半年报问询函的回复公告,2025-10-22,北京证券交易所上市公司管理部,《关于对大连连城数控机器股份有限公司的半年报问询函》,半年报问询函【2025】第005号,2025-09-30,未找到,未找到,半年度报告,问题1、关于经营业绩;问题2、关于应收账款;问题3、关于存货;问题4、关于员工变动,未找到,18,12716,未找到,回复函
